#numdatos insertion merge quick
100000 238.626 0.183528 0.028501
200000 914.334 0.378737 0.05778
300000 2041.02 0.544844 0.08908
400000 3634.66 0.739224 0.126681
500000 5618.31 0.925705 0.153747
600000 8727.88 1.4703 0.233881
700000 11933.9 1.33953 0.210096
800000 13394.3 1.52303 0.241718
900000 17185.5 1.88907 0.331368
1000000 80284.2 7.38704 1.21763
