#numdatos insertion merge quick
100000 0.004997 0.170837 0.026876
200000 0.004933 0.343593 0.055895
300000 0.007346 0.533465 0.087575
400000 0.009812 0.722545 0.117785
500000 0.012284 0.913763 0.149424
600000 0.015226 1.10988 0.181855
700000 0.017343 1.30833 0.215424
800000 0.019642 1.51211 0.245767
900000 0.02224 1.70902 0.280971
1000000 0.024732 1.91053 0.311758
